Subject,Sub-discipline
Astronomy,"Observational astronomy & instrumentation, Planetary science & cosmology, Space exploration & orbital mechanics, Stellar astrophysics"
Biology,"Anatomy, Physiology & Neuroscience, Bioinformatics & Synthetic Biology, Ecology & Evolutionary Biology, Molecular & Developmental Biology, Pathogens, Toxins & Pharmacology
"
Chemistry,"Analytical chemistry, Biochemistry, Inorganic & coordination chemistry, Organic synthesis"
Geography,"Cartography & GIS, Climatology & meteorology, Human & political geography, Physical geography & geomorphology, Urban & economic geography"
engineering,"Chemical & process engineering, Electrical & electronic engineering, Mechanical & manufacturing engineering, Software & systems engineering, Structural & civil engineering"
math,"Applied & numerical mathematics, pure mathematics, statistics & probability"
physics,"Classical mechanics & dynamics, Electromagnetism & optics, Nuclear & particle physics, Quantum mechanics, Thermodynamics & statistical mechanics"
