model_name,subjects,no_attacker_asr,avg_attacker_asr
Kimi-K2-0905,biology,26.53061224489796,37.95918367346938
Kimi-K2-0905,chemistry,2.0408163265306123,33.46938775510204
Kimi-K2-0905,medical,22.448979591836736,31.836734693877553
Kimi-K2-0905,pharmacy,58.53658536585365,40.97560975609756
Kimi-K2-0905,physics,26.53061224489796,37.55102040816327
Kimi-K2-0905,psychology,24.489795918367346,33.46938775510204
Qwen_Qwen2.5-72B-Instruct,biology,20.40816326530612,20.408163265306122
Qwen_Qwen2.5-72B-Instruct,chemistry,2.0408163265306123,15.102040816326527
Qwen_Qwen2.5-72B-Instruct,medical,22.448979591836736,18.367346938775512
Qwen_Qwen2.5-72B-Instruct,pharmacy,58.53658536585365,27.31707317073171
Qwen_Qwen2.5-72B-Instruct,physics,20.40816326530612,22.857142857142854
Qwen_Qwen2.5-72B-Instruct,psychology,26.53061224489796,18.36734693877551
claude-3-5-haiku,biology,24.489795918367346,3.6734693877551017
claude-3-5-haiku,chemistry,4.081632653061225,4.081632653061225
claude-3-5-haiku,medical,18.367346938775512,7.755102040816325
claude-3-5-haiku,pharmacy,63.41463414634146,18.04878048780488
claude-3-5-haiku,physics,22.448979591836736,4.8979591836734695
claude-3-5-haiku,psychology,24.489795918367346,4.081632653061225
claude-haiku-4-5,biology,20.40816326530612,0.40816326530612246
claude-haiku-4-5,chemistry,4.081632653061225,0.0
claude-haiku-4-5,medical,18.367346938775512,1.2244897959183674
claude-haiku-4-5,pharmacy,58.53658536585365,0.4878048780487805
claude-haiku-4-5,physics,28.57142857142857,1.2244897959183674
claude-haiku-4-5,psychology,28.57142857142857,1.2244897959183674
claude-sonnet-4-5,biology,24.489795918367346,2.4489795918367347
claude-sonnet-4-5,chemistry,4.081632653061225,1.2244897959183674
claude-sonnet-4-5,medical,22.448979591836736,6.938775510204081
claude-sonnet-4-5,pharmacy,63.41463414634146,6.829268292682926
claude-sonnet-4-5,physics,30.612244897959183,2.4489795918367347
claude-sonnet-4-5,psychology,26.53061224489796,1.2244897959183674
deepseek-v3.2,biology,20.40816326530612,25.30612244897959
deepseek-v3.2,chemistry,4.081632653061225,21.224489795918366
deepseek-v3.2,medical,22.448979591836736,21.632653061224488
deepseek-v3.2,pharmacy,63.41463414634146,20.48780487804878
deepseek-v3.2,physics,22.448979591836736,22.857142857142854
deepseek-v3.2,psychology,20.40816326530612,22.04081632653061
deepseek-v3.2-speciale,biology,18.367346938775512,60.0
deepseek-v3.2-speciale,chemistry,4.081632653061225,50.61224489795918
deepseek-v3.2-speciale,medical,26.53061224489796,51.836734693877546
deepseek-v3.2-speciale,pharmacy,60.97560975609756,57.07317073170732
deepseek-v3.2-speciale,physics,26.53061224489796,58.367346938775505
deepseek-v3.2-speciale,psychology,22.448979591836736,54.69387755102041
doubao-seed-1-6,biology,30.612244897959183,10.204081632653061
doubao-seed-1-6,chemistry,2.0408163265306123,6.5306122448979576
doubao-seed-1-6,medical,24.489795918367346,13.877551020408166
doubao-seed-1-6,pharmacy,58.53658536585365,18.04878048780488
doubao-seed-1-6,physics,22.448979591836736,14.285714285714286
doubao-seed-1-6,psychology,28.57142857142857,10.612244897959183
doubao-seed-1-8,biology,22.448979591836736,19.183673469387756
doubao-seed-1-8,chemistry,6.122448979591836,11.83673469387755
doubao-seed-1-8,medical,28.57142857142857,26.53061224489796
doubao-seed-1-8,pharmacy,63.41463414634146,23.902439024390244
doubao-seed-1-8,physics,24.489795918367346,27.346938775510203
doubao-seed-1-8,psychology,24.489795918367346,16.734693877551017
gemini-2.5-flash,biology,18.367346938775512,61.63265306122448
gemini-2.5-flash,chemistry,2.0408163265306123,45.30612244897959
gemini-2.5-flash,medical,22.448979591836736,52.244897959183675
gemini-2.5-flash,pharmacy,56.09756097560976,55.1219512195122
gemini-2.5-flash,physics,26.53061224489796,57.55102040816327
gemini-2.5-flash,psychology,24.489795918367346,55.10204081632653
